variety_name,crop,segment,plant_characteristics,fruit_characteristics,resistance_codes,cultivation_environment,description,variety_names.country,variety_names.commercial_name,variety_names.registration_status,image
192-265,Tomato,,"Indeterminate loose tomato, vigorous plant, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV","Red color, slightly flat, 220-240 gr, firm.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, vigorous plant, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV
Fruit: Red color, slightly flat, 220-240 gr, firm.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-265.jpg
192-269,Tomato,,"Indeterminate round red loose tomato, vigorous plant, early.","Red color, globe, firm, 240-260 gr.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, TSWV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate round red loose tomato, vigorous plant, early.
Fruit: Red color, globe, firm, 240-260 gr.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-269.jpg
192-272,Tomato,,"Indeterminate loose tomato, vigorous plant, early, productive, good leaf coverage.","Red color, round, smooth, 240-260 g, very firm.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, vigorous plant, early, productive, good leaf coverage.
Fruit: Red color, round, smooth, 240-260 g, very firm.
Cultivation: Autumn and spring seasons in greenhouse.",Iran,RAMSEY F1,Registered,192-272.jpg
192-297,Tomato,,"Indeterminate loose tomato, vigorous plant, early.","Red color, slightly flat, 220-240 gr, firm.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV, Ss",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, vigorous plant, early.
Fruit: Red color, slightly flat, 220-240 gr, firm.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-297.jpg
192-298,Tomato,,"Indeterminate loose tomato, very vigorous plant, early.","Dark red color, slightly flat, 240-260 gr, firm, productive.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, very vigorous plant, early.
Fruit: Dark red color, slightly flat, 240-260 gr, firm, productive.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-298.jpg
192-320,Tomato,,"Indeterminate loose tomato, very vigorous plant, dark green leaves, early.","Dark red color, slightly flat, 200-220 gr, firm, productive.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV, ToBRFV, Ss",Autumn and winter seasons in greenhouse.,"Plant: Indeterminate loose tomato, very vigorous plant, dark green leaves, early.
Fruit: Dark red color, slightly flat, 200-220 gr, firm, productive.
Cultivation: Autumn and winter seasons in greenhouse.",China,CYNTHIA F1,Registered,192-320.jpg
,,,,,,,,Spain,TOBIAS F1,Registered,
,,,,,,,,Azerbaijan,ALTAR F1,Registered,
,,,,,,,,Colombia,ISTANBUL F1,In Progress,
,,,,,,,,Brazil,ISTANBUL F1,Registered,
,,,,,,,,Uzbekistan,ALP F1,Registered,
192-323,Tomato,,"Indeterminate loose tomato, very vigorous plant, dark green leaves, early.","Red color, slightly flat, 230-250 gr, firm.","HR: ToMV, Va, Vd, Fol 0-1-2, For, Ff A-E / IR: TYLCV, TSWV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, very vigorous plant, dark green leaves, early.
Fruit: Red color, slightly flat, 230-250 gr, firm.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-323.jpg
192-324,Tomato,,"Indeterminate loose tomato, vigorous plant, early.","Red color, slightly flat,
260-280 gr, firm, productive.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, vigorous plant, early.
Fruit: Red color, slightly flat,
260-280 gr, firm, productive.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-324.jpg
192-333,Tomato,,"Indeterminate loose tomato, very vigorous plant, dark green leaves, productive, early.","Red color, slightly flat, firm, 260-280 gr.","HR: ToMV, Va, Vd, Fol 0-1-2, For / IR: TYLCV, TSWV, Ma,
Mi, Mj",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, very vigorous plant, dark green leaves, productive, early.
Fruit: Red color, slightly flat, firm, 260-280 gr.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-333.jpg
192-334,Tomato,,"Indeterminate loose tomato, very vigorous plant, short internodes, dark green leaves, early.","Dark red color, globe shape, 300-320 gr, very firm.","HR: ToMV, Va, Vd, Fol 0-1-2, Ff A-E / IR: TYLCV, TSWV, Ma,
Mi, Mj,Ss",Autumn and spring seasons in greenhouse and open field.,"Plant: Indeterminate loose tomato, very vigorous plant, short internodes, dark green leaves, early.
Fruit: Dark red color, globe shape, 300-320 gr, very firm.
Cultivation: Autumn and spring seasons in greenhouse and open field.",Brazil,VULCANO F1,Registered,192-334.jpg
192-341,Tomato,,"Indeterminate round red loose tomato, very vigorous plant, dark green leaves, very good leag coverage.","Red, slightly flat, very firm, 220-240 gr, high setting.",,Spring season in greenhouse and open field.,"Plant: Indeterminate round red loose tomato, very vigorous plant, dark green leaves, very good leag coverage.
Fruit: Red, slightly flat, very firm, 220-240 gr, high setting.
Cultivation: Spring season in greenhouse and open field.",,,,192-341.jpg
192-344,Tomato,,"Indeterminate loose tomato, vigorous plant, very early, open plant habit.","Dark red color, slightly flat, 240-260 gr, very firm, productive.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-B / IR: TYLCV, TSWV, Ma,
Mi, Mj, Ss",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, vigorous plant, very early, open plant habit.
Fruit: Dark red color, slightly flat, 240-260 gr, very firm, productive.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-344.jpg
192-365,Tomato,,"Indeterminate round red loose tomato, very vigorous plant, dark green leaves, very good leag coverage, mid-early, very productive.","Red, slightly flat, very firm, 230-250 gr.","HR: ToMV, Va, Vd, Fol 0-1-2, For / IR: TSWV, Ma, Mi, Mj",Spring season in greenhouse and open field.,"Plant: Indeterminate round red loose tomato, very vigorous plant, dark green leaves, very good leag coverage, mid-early, very productive.
Fruit: Red, slightly flat, very firm, 230-250 gr.
Cultivation: Spring season in greenhouse and open field.",,,,192-365.jpg
192-377,Tomato,,"Indeterminate loose tomato, vigorous plant, early, short internodes. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV","Red color, slightly flat, 250-260 gr, very firm, productive.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, vigorous plant, early, short internodes. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV
Fruit: Red color, slightly flat, 250-260 gr, very firm, productive.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-377.jpg
192-381,Tomato,,"Indeterminate round red loose tomato, vigorous plant, short internodes, dark green leaves, very good leag coverage, early.","Red, round, very firm, 240-260 gr.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV",Spring season in greenhouse and open field.,"Plant: Indeterminate round red loose tomato, vigorous plant, short internodes, dark green leaves, very good leag coverage, early.
Fruit: Red, round, very firm, 240-260 gr.
Cultivation: Spring season in greenhouse and open field.",,,,192-381.jpg
192-388,Tomato,,"Indeterminate loose beef tomato, vigorous plant,  short internodes, early.  HR: ToMV, Vd, Va, Fol 0-1, For IR: TYLCV, TSWV","Red color, slightly flat, very firm, 250-270 g.",,Spring and summer seasons in greenhouse.,"Plant: Indeterminate loose beef tomato, vigorous plant,  short internodes, early.  HR: ToMV, Vd, Va, Fol 0-1, For IR: TYLCV, TSWV
Fruit: Red color, slightly flat, very firm, 250-270 g.
Cultivation: Spring and summer seasons in greenhouse.",,,,192-388.jpg
192-463,Tomato,,"Indeterminate cluster tomato, vigorous plant. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, slightly flat, firm, 140-160 gr.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cluster tomato, vigorous plant. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV
Fruit: Red color, slightly flat, firm, 140-160 gr.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-463.jpg
192-469,Tomato,,"Indeterminate cluster tomato, vigorous plant, dark green leaves, short internodes. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Red color, round, firm, 110-120 gr, productive.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cluster tomato, vigorous plant, dark green leaves, short internodes. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV
Fruit: Red color, round, firm, 110-120 gr, productive.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-469.jpg
192-470,Tomato,,"Indeterminate cluster tomato, vigorous plant.. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Dark red color, round, firm, 120-140 gr, productive.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cluster tomato, vigorous plant.. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV
Fruit: Dark red color, round, firm, 120-140 gr, productive.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-470.jpg
192-481,Tomato,,"Indeterminate cluster tomato, vigorous plant, mid-early, dark green leaves, short internodes.
HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, slightly flat, very firm, 160-180 gr, unifrom cluster shape, productive.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cluster tomato, vigorous plant, mid-early, dark green leaves, short internodes.
HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV
Fruit: Red color, slightly flat, very firm, 160-180 gr, unifrom cluster shape, productive.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-481.jpg
192-490,Tomato,,"Indeterminate cluster tomato, vigorous plant, early, dark green leaves. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV","Dark red color, slightly flat, firm, 130-150 gr, unifrom cluster shape, productive.",,Autumn and spring seasons in greenhouse and hydroponic culture.,"Plant: Indeterminate cluster tomato, vigorous plant, early, dark green leaves. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV
Fruit: Dark red color, slightly flat, firm, 130-150 gr, unifrom cluster shape, productive.
Cultivation: Autumn and spring seasons in greenhouse and hydroponic culture.",,,,192-490.jpg
192-491,Tomato,,"Indeterminate cluster tomato, vigorous plant, early, dark green-small size leaves. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Dark red color, slightly flat, firm, 130-150 gr, unifrom cluster shape, very good taste.",,Autumn and spring seasons in greenhouse and hydroponic culture.,"Plant: Indeterminate cluster tomato, vigorous plant, early, dark green-small size leaves. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV
Fruit: Dark red color, slightly flat, firm, 130-150 gr, unifrom cluster shape, very good taste.
Cultivation: Autumn and spring seasons in greenhouse and hydroponic culture.",,,,192-491.jpg
192-500,Tomato,,"Indeterminate cluster tomato, vigorous plant, dark green leaves. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Dark red color, slightly flat, firm, 120-130 gr.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cluster tomato, vigorous plant, dark green leaves. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV
Fruit: Dark red color, slightly flat, firm, 120-130 gr.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-500.jpg
192-507,Tomato,,"Indeterminate cluster tomato, vigorous plant.","Red color, slightly flat, firm, 130-150 gr.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, TSWV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cluster tomato, vigorous plant.
Fruit: Red color, slightly flat, firm, 130-150 gr.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-507.jpg
192-531,Tomato,,"Indeterminate cluster tomato, vigorous plant,  short internodes. HR:  ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, slightly flat, firm, 140-160 gr.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cluster tomato, vigorous plant,  short internodes. HR:  ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV
Fruit: Red color, slightly flat, firm, 140-160 gr.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-531.jpg
192-535,Tomato,,"Indeterminate cluster tomato, very vigorous plant, dark green leaves, early.
HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Dark red color, slightly flat, firm, 180-200 gr, homogenus cluster shape.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cluster tomato, very vigorous plant, dark green leaves, early.
HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV
Fruit: Dark red color, slightly flat, firm, 180-200 gr, homogenus cluster shape.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-535.jpg
192-536,Tomato,,"Indeterminate cluster tomato, vigorous plant,  short internodes, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, slightly flat, firm, 160-180 gr, productive.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cluster tomato, vigorous plant,  short internodes, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV
Fruit: Red color, slightly flat, firm, 160-180 gr, productive.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-536.jpg
192-541,Tomato,,"Indeterminate cluster tomato, vigorous, dark green- small size leaves, short internodes, early.","Round, red color, 170-190 gr, firm, jointless, 6-7 fruits per cluster.","HR: ToMV, Vd, Va, Fol 0-1, For
/ IR ToTV",Hydroponic culture.,"Plant: Indeterminate cluster tomato, vigorous, dark green- small size leaves, short internodes, early.
Fruit: Round, red color, 170-190 gr, firm, jointless, 6-7 fruits per cluster.
Cultivation: Hydroponic culture.",,,,192-541.jpg
192-573,Tomato,,"Indterminate loose tomato, vigorous plant, dark green leaves, early, productive.","Round, dark red color, less juicy, firm, high fruit texture, tasty, 100-110 gr.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse and hydroponic culture.,"Plant: Indterminate loose tomato, vigorous plant, dark green leaves, early, productive.
Fruit: Round, dark red color, less juicy, firm, high fruit texture, tasty, 100-110 gr.
Cultivation: Autumn and spring seasons in greenhouse and hydroponic culture.",,,,192-573.jpg
192-576,Tomato,,"Indeterminate oval tomato, vigorous plant.","Short-oval, red color, 130-140 gr, firm, high quality.","HR: ToMV, Va, Vd, Fol 0-1-2  / IR: TYLCV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate oval tomato, vigorous plant.
Fruit: Short-oval, red color, 130-140 gr, firm, high quality.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-576.jpg
192-646,Tomato,,"Indeterminate round loose tomato, short internodes, compact plant, dark green leaves, mid-early.","Pink color, round, 240-260 gr, firm.","HR:ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, Ss",Autumn and spring seasons in greenhouse and tunnel.,"Plant: Indeterminate round loose tomato, short internodes, compact plant, dark green leaves, mid-early.
Fruit: Pink color, round, 240-260 gr, firm.
Cultivation: Autumn and spring seasons in greenhouse and tunnel.",Russian Federation,MALGROSS F1,In Progress,192-646.jpg
,,,,,,,,Azerbaijan,AYANA F1,In Progress,
,,,,,,,,Russian Federation,MALGROSS F1,In Progress,
192-654,Tomato,,"Indeterminate pink tomato, strong plant, very short internodes, HR: ToMV, Va,Vd, FOL 0,1, Cf9, FOR / IR:TYLCV","Globe shape, 220-240 gr, firm",,Autumn and spring season in greenhouse,"Plant: Indeterminate pink tomato, strong plant, very short internodes, HR: ToMV, Va,Vd, FOL 0,1, Cf9, FOR / IR:TYLCV
Fruit: Globe shape, 220-240 gr, firm
Cultivation: Autumn and spring season in greenhouse",,,,192-654.jpg
192-658,Tomato,,"Indeterminate round loose tomato, short internodes, compact plant, dark green leaves, mid-early.","Pink color, round, 240-260 gr, firm.","HR:ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse and tunnel.,"Plant: Indeterminate round loose tomato, short internodes, compact plant, dark green leaves, mid-early.
Fruit: Pink color, round, 240-260 gr, firm.
Cultivation: Autumn and spring seasons in greenhouse and tunnel.",,,,192-658.jpg
192-660,Tomato,,"Indeterminate round loose tomato, vigorous plant,  short internodes, dark green leaves, early, very productive.","Pink color, round, 240-260 gr, firm.","HR:ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, ToTV, Ss",Autumn and spring seasons in greenhouse and hydroponic culture.,"Plant: Indeterminate round loose tomato, vigorous plant,  short internodes, dark green leaves, early, very productive.
Fruit: Pink color, round, 240-260 gr, firm.
Cultivation: Autumn and spring seasons in greenhouse and hydroponic culture.",,,,192-660.jpg
192-662,Tomato,,"Indeterminate round loose tomato, vigorous plant,  short internodes, dark green leaves, early, very productive.","Pink color, round, 240-260 gr, firm.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse and hydroponic culture.,"Plant: Indeterminate round loose tomato, vigorous plant,  short internodes, dark green leaves, early, very productive.
Fruit: Pink color, round, 240-260 gr, firm.
Cultivation: Autumn and spring seasons in greenhouse and hydroponic culture.",,,,192-662.jpg
192-664,Tomato,,"Indeterminate pink tomato,strong plant, mid.early, HR: ToMV, Va,Vd, FOL 0,1, Cf9, FOR / IR:TYLCV","Globe shape, 240-260 gr",,Autumn and spring season in greenhouse,"Plant: Indeterminate pink tomato,strong plant, mid.early, HR: ToMV, Va,Vd, FOL 0,1, Cf9, FOR / IR:TYLCV
Fruit: Globe shape, 240-260 gr
Cultivation: Autumn and spring season in greenhouse",,,,192-664.jpg
192-710,Tomato,,"Indeterminate loose heirloom tomato, very vigorous, dark green leaves, early.","Pink color, flat fruit, ribbed, firm, 280-300 gr, good taste.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate loose heirloom tomato, very vigorous, dark green leaves, early.
Fruit: Pink color, flat fruit, ribbed, firm, 280-300 gr, good taste.
Cultivation: Autumn, winter and spring seasons in greenhouse.",,,,192-710.jpg
192-718,Tomato,,"Indeterminate loose heirloom tomato, vigorous plant, compact, short internodes.","Slightly flat, sliced, pink color, beef size 400-450 gr, tasty.","HR: ToMV, Va, Vd, Fol 0-1 / IR:TYLCV",Autumn and spring seasons greenhouse and low tunnel.,"Plant: Indeterminate loose heirloom tomato, vigorous plant, compact, short internodes.
Fruit: Slightly flat, sliced, pink color, beef size 400-450 gr, tasty.
Cultivation: Autumn and spring seasons greenhouse and low tunnel.",Spain,GRAN CLASS F1,In Progress,192-718.jpg
192-724,Tomato,,"Semi-determinate loose heirloom tomato, compact, short internodes.","Slightly flat, sliced, pink color, beef size 350-400 gr, tasty.","HR:ToMV, Va, Vd, Fol 0-1 / IR: TSWV",Autumn and spring seasons greenhouse and low tunnel.,"Plant: Semi-determinate loose heirloom tomato, compact, short internodes.
Fruit: Slightly flat, sliced, pink color, beef size 350-400 gr, tasty.
Cultivation: Autumn and spring seasons greenhouse and low tunnel.",,,,192-724.jpg
192-729,Tomato,,"Indeterminate loose tomato, short internodes, good leaf coverage, mid-early.","Pink color, globe, 260-280 gr, firm.","HR:ToMV, Va, Vd, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, short internodes, good leaf coverage, mid-early.
Fruit: Pink color, globe, 260-280 gr, firm.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-729.jpg
192-751,Tomato,,"Indeterminate loose heirloom tomato, vigorous, short internodes.","Flat, ribbed, brown color, firm, 280-300 gr, non-cracking, long shelf life.","HR: ToMV, Vd, Va, Fol 0, Ff A-E / IR: TYLCV, ToBRFV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose heirloom tomato, vigorous, short internodes.
Fruit: Flat, ribbed, brown color, firm, 280-300 gr, non-cracking, long shelf life.
Cultivation: Autumn and spring seasons in greenhouse.",Spain,TOBCHOCO F1,Registered,192-751.jpg
,,,,,,,,Mexico,TOBCHOCO F1,In Progress,
,,,,,,,,Australia,BIG CHRIS F1,In Progress,
192-765,Tomato,,"Indeterminate loose heirloom tomato, vigorous, early.","Flat, ribbed, purple color, very firm, 300-350 gr, non-cracking, long shelf life.","HR: ToMV, Vd, Va, Fol 0-1",Autumn and spring seasons in greenhouse,"Plant: Indeterminate loose heirloom tomato, vigorous, early.
Fruit: Flat, ribbed, purple color, very firm, 300-350 gr, non-cracking, long shelf life.
Cultivation: Autumn and spring seasons in greenhouse",,,,192-765.jpg
192-769,Tomato,,"Vigorous plant, early, productive. HR: ToMV, Va, Vd, Fol-0,1 / IR: TYLCV","Round, purple shoulder special type, red color at mature stage, 60-70 gr, firm, very tasty.",,Hydroponic culture.,"Plant: Vigorous plant, early, productive. HR: ToMV, Va, Vd, Fol-0,1 / IR: TYLCV
Fruit: Round, purple shoulder special type, red color at mature stage, 60-70 gr, firm, very tasty.
Cultivation: Hydroponic culture.",,,,192-769.jpg
192-867,Tomato,,"Indeterminate oval cocktail tomato, early, very vigorous plant, dark green leaves.","Red color, oval shape, firm, 35-40 gr, very productive.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate oval cocktail tomato, early, very vigorous plant, dark green leaves.
Fruit: Red color, oval shape, firm, 35-40 gr, very productive.
Cultivation: Autumn, winter and spring seasons in greenhouse.",Azerbaijan,ALMAZ F1,Registered,192-867.jpg
,,,,,,,,Kazakhstan,GNE? F1,Registered,
192-868,Tomato,,"Indeterminate oval cocktail tomato, short internodes, small size leaves, vigorous plant, early.","Red color, oval shape, 35-40 gr, firm, productive.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate oval cocktail tomato, short internodes, small size leaves, vigorous plant, early.
Fruit: Red color, oval shape, 35-40 gr, firm, productive.
Cultivation: Autumn, winter and spring seasons in greenhouse.",,,,192-868.jpg
192-869,Tomato,,"Indeterminate oval cocktail tomato, vigorous plant, early.","Red color, oval shape, 35-40 gr, firm.","HR: ToMV, Va, Vd, Fol 0 / IR: TYLCV, Ss","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate oval cocktail tomato, vigorous plant, early.
Fruit: Red color, oval shape, 35-40 gr, firm.
Cultivation: Autumn, winter and spring seasons in greenhouse.",China,REDBULL 317 F1,Registered,192-869.jpg
192-892,Tomato,,"Indeterminate oval cocktail tomato, very vigorus plant, dark green leaves, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, short-oval shape, 40-45 gr, very firm, productive.",,"Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate oval cocktail tomato, very vigorus plant, dark green leaves, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV
Fruit: Red color, short-oval shape, 40-45 gr, very firm, productive.
Cultivation: Autumn, winter and spring seasons in greenhouse.",,,,192-892.jpg
192-895,Tomato,,"Indeterminate oval cocktail tomato, very vigorous plant, dark green leaves,
mid-early.","Dark red color, oval shape, firm, 35-40 gr.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate oval cocktail tomato, very vigorous plant, dark green leaves,
mid-early.
Fruit: Dark red color, oval shape, firm, 35-40 gr.
Cultivation: Autumn, winter and spring seasons in greenhouse.",,,,192-895.jpg
192-904,Tomato,,"Indetrminate loose cocktail tomato, vigorous plant. early. HR:ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Oval shape, dark red color, firm, 35-40 gr, non-cracking.",,"Autumn, winter and spring seasons in greenhouse.","Plant: Indetrminate loose cocktail tomato, vigorous plant. early. HR:ToMV, Va, Vd, Fol 0-1 / IR: TYLCV
Fruit: Oval shape, dark red color, firm, 35-40 gr, non-cracking.
Cultivation: Autumn, winter and spring seasons in greenhouse.",,,,192-904.jpg
192-912,Tomato,,"Indeterminate cherry tomato, vigorous plant, early.","Red color, round shape, firm, 25-30 gr, firm.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, Ma, Mi ,Mj","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate cherry tomato, vigorous plant, early.
Fruit: Red color, round shape, firm, 25-30 gr, firm.
Cultivation: Autumn, winter and spring seasons in greenhouse.",,,,192-912.jpg
192-934,Tomato,,"Indeterminate round loose cocktail tomato, vigorous plant, early, productive.","Red color, firm, 14-16 fruits per cluster, 50-60 gr, good cluster shape.","HR: ToMV, Va, Vd, Fol 0-1",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate round loose cocktail tomato, vigorous plant, early, productive.
Fruit: Red color, firm, 14-16 fruits per cluster, 50-60 gr, good cluster shape.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-934.jpg
192-935,Tomato,,"Indeterminate round loose cocktail tomato, vigorous plant, long internodes, early, productive. HR: ToMV, Va, Vd, Fol 0-1 /  IR: TYLCV","Red color, firm, 45-50 gr, long cluster.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate round loose cocktail tomato, vigorous plant, long internodes, early, productive. HR: ToMV, Va, Vd, Fol 0-1 /  IR: TYLCV
Fruit: Red color, firm, 45-50 gr, long cluster.
Cultivation: Autumn and spring seasons in greenhouse.",,,,192-935.jpg
192-949,Tomato,,"Indeterminate cluster cherry tomato, very vigoorus plant, early.","Red color, round shape, very firm, 20-25 gr, tolerant to cracking.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate cluster cherry tomato, very vigoorus plant, early.
Fruit: Red color, round shape, very firm, 20-25 gr, tolerant to cracking.
Cultivation: Autumn, winter and spring seasons in greenhouse.",,,,192-949.jpg
192-950,Tomato,,"Indeterminate cluster cherry tomato, mid-early, dark green leaves.","Red color, round, 25-30 gr, uniform cluster shape,
non-cracking, firm.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, spring and winter seasons in greenhouse.","Plant: Indeterminate cluster cherry tomato, mid-early, dark green leaves.
Fruit: Red color, round, 25-30 gr, uniform cluster shape,
non-cracking, firm.
Cultivation: Autumn, spring and winter seasons in greenhouse.",,,,192-950.jpg
192-951,Tomato,,"Indeterminate cluster cherry tomato, early, dark
green-small size leaves, vigorous plant, short internodes.","Red color, round, 25-30 gr, uniform cluster shape,
non-cracking, very firm.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, spring and winter seasons in greenhouse.","Plant: Indeterminate cluster cherry tomato, early, dark
green-small size leaves, vigorous plant, short internodes.
Fruit: Red color, round, 25-30 gr, uniform cluster shape,
non-cracking, very firm.
Cultivation: Autumn, spring and winter seasons in greenhouse.",,,,192-951.jpg
192-952,Tomato,,"Indeterminate cluster cherry tomato, small size leaves, short internodes. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Red color, round, 25-30 gr, non-cracking.",,"Autumn, spring and winter seasons in greenhouse.","Plant: Indeterminate cluster cherry tomato, small size leaves, short internodes. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV
Fruit: Red color, round, 25-30 gr, non-cracking.
Cultivation: Autumn, spring and winter seasons in greenhouse.",,,,192-952.jpg
