CROPS,CODE,PLANT,FRUIT,RESISTANCE,CULTIVATION
Tomato,182-484,"Indeterminate pink tomato, very vigorous plant,
mid-early, productive.","Slightly flat, pink color, firm, 280-300 gr.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, Ss",Autumn and spring seasons in greenhouse.

Tomato,182-490,"Indeterminate loose tomato, short internodes, early.
HR:ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Pink color, globe, 260-280 gr, firm.",,Autumn and spring seasons in greenhouse.
Tomato,182-492,"Indeterminate pink tomato, very vigorous plant, early, productive. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Globe, pink color, firm, 240-260 gr.",,"Autumn, winter and spring seasons in greenhouse."
Tomato,182-493,"Indeterminate pink tomato, vigorous plant, short internodes.","Pink color, slightly ribbed, firm, 350-400 gr, high setting.","HR: ToMV, Va, Vd, Fol 0-1, Ff A-E / IR: TYLCV, Ss",Autumn and spring seasons in greenhouse.
Tomato,182-511,"Indeterminate pink tomato, very vigorous plant, early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Slightly flat, pink color, firm, 260-280 gr.",,Autumn and spring seasons in greenhouse.
Tomato,182-539,"Indeterminate round pink loose tomato, vigorous plant, short internodes, early.","Round, pink color, firm, 220-240 g.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,182-564,"Indeterminate pink tomato,very strong plant, big size leaves, HR: ToMV, Va,Vd, FOL 0,1, Cf9, FOR / IR:TYLCV","Globe shape, 220-240 gr, very firm",,Autumn and Spring season in greenhouse
Tomato,182-615,"Indeterminate loose yellow heirloom tomato, vigorous plant, early.","Green to yellow color, flat, ribbed, very firm, 240-260 gr, non-cracking, long shelf life.","HR: ToMV, Vd, Va, Fol 0, Ff A-E / IR: TYLCV",Autumn and spring seasons in greenhouse.
Tomato,182-616,"Indeterminate loose heirloom tomato, vigorous, early.","Flat, ribbed, orange color, very firm, 240-260 gr, long shelf  life.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse.
Tomato,182-670,"Indeterminate oval cocktail tomato, open plant,
mid-early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Oval, red color, firm, 35-40 gr.",,Autumn and spring seasons in greenhouse.
Tomato,182-671,"Indeterminate oval cocktail tomato, early, vigorous plant. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Oval, dark red color, very firm, tasty, 35-40 gr, very productive.",,"Autumn, winter and spring seasons in greenhouse."
Tomato,182-688,"Indeterminate oval cocktail tomato, mid-early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Oval, dark red color, firm, tasty, 35-40 gr.",,Autumn and spring seasons in greenhouse.
Tomato,182-691,"Indeterminate oval cocktail tomato, early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Oval, dark red color, firm, 35-40 gr.",,Autumn and spring seasons in greenhouse.
Tomato,182-704,"Indeterminate oval cocktail tomato, vigorous plant, early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Oval, dark red color, very firm, tasty, 35-40 gr, productive.",,Autumn and spring seasons in greenhouse.
Tomato,182-711,"Indeterminate oval cherry tomato, early, vigorous plant.","Oval, date shape, dark red color, very firm, tasty, 18-20 gr, very productive.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: ToBRFV","Autumn, winter and spring seasons in greenhouse."

Tomato,182-735,"Indeterminate cocktail tomato, early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Round, red color, very firm, tasty, 30-35 gr.",,Autumn and spring seasons in greenhouse.
Tomato,182-746,"Indeterminate oval cocktail tomato, mid-early, generative plant. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Oval, red color, firm, tasty, 45-50 gr, productive.",,Autumn and spring seasons in greenhouse.
Tomato,182-761,GDGSSTESRT,FRUITDTTEYRYERYEYSY,,RSGGGGXHFDHF
Tomato,182-813,"Indeterminate cherry tomato, vigorous plant, mid-early.","Red color, round shape, 15-20 gr, firm, productive.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,182-816,"Indeterminate oval cherry tomato, early, short internodes, dark green leaves.","Long- oval, date shape, yellow color, firm, tasty, 10-15 gr.","HR: ToMV, Va, Vd, Fol 0-1, Ff A-B / IR: Ma, Mi, Mj, ToBRFV",Autumn and spring seasons in greenhouse.
Tomato,192-1007,"Determinate tomato, very early, open plant habbit, suitable for short cycle production.","Round, red color, firm, 200-220 gr, high quality.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV",Open field.
Tomato,192-1031,"Determinate saladette, very vigorous, dark green leaves, good leaf cover, good hot tolerance.","Red color, oval shape, firm fruit, no green shoulder, 130-140 gr.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TSWV, TYLCV",Open field.
Tomato,192-113,"Indeterminate loose tomato, vigorous plant, short internodes, mid-early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV","Red color, slightly flat, 230-250 gr, firm.",,"Autumn,winter and spring seasons in greenhouse."
Tomato,192-114,"Indeterminate loose tomato, very vigorous plant,
mid-early.","Red color, round shape, 220-240 gr, firm, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-B / IR: TYLCV, TSWV",Autumn and spring seasons in greenhouse.
Tomato,192-117,"Indeterminate loose tomato, vigorous plant, early, open plant habit.","Red color, slightly flat, 230-250 gr, firm, very productive.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-B / IR: TYLCV, TSWV,
Ma, Mi, Mj",Autumn and spring seasons in greenhouse.
Tomato,192-128,"Indeterminate loose tomato, vigorous plant, early.","Dark red color, slightly flat, 240-260 gr, very firm, productive.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-B / IR: TYLCV, TSWV, Ma,
Mi, Mj",Autumn and spring seasons in greenhouse.
Tomato,192-141,"Indeterminate loose tomato, vigorous plant, short internodes, early.","Red color, slightly flat,
240-260 gr, firm, homogenous size .","HR: ToMV, Va, Vd, Fol 0-1, Ff A-B / IR: TYLCV, TSWV, Ma,
Mi, Mj, Ss","Autumn, winter and spring seasons in greenhouse."
Tomato,192-142,"Indeterminate loose tomato, vigorous plant, dark green leaves, early.","Shiny red color, slightly flat, 220-240 gr, very firm.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV, Ss",Autumn and winter seasons in greenhouse.
Tomato,192-146,"Indeterminate loose tomato, vigorous plant, very early, open plant habit. HR:  ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV","Dark red color, slightly flat, 180-200 gr, very firm, good setting under hot.",,"Early autumn, autumn and spring seasons in greenhouse."

Tomato,192-148,"Indeterminate loose tomato, vigorous plant, very early, short internodes, open plant habit. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Dark red color, slightly flat, 200-220 gr, very firm, good setting under hot.",,"Early autumn, autumn and spring seasons in greenhouse."
Tomato,192-154,"Indeterminate loose tomato, vigorous plant, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, slightly flat,
180-200 gr, firm, good setting under hot.",,"Early autumn, autumn and spring seasons in greenhouse."
Tomato,192-163,"Indeterminate loose tomato, short internodes, early, strong plant. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV, Ma, Mi, Mj","Red color, slightly flat, firm, 200-220 gr.",,Autumn and spring seasons in greenhouse.
Tomato,192-171,"Indeterminate loose tomato, vigorous plant, early.","Red color, slightly flat, 220-240 gr, firm, very productive.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV",Autumn and winter seasons in greenhouse.
Tomato,192-265,"Indeterminate loose tomato, vigorous plant, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV","Red color, slightly flat, 220-240 gr, firm.",,Autumn and spring seasons in greenhouse.
Tomato,192-269,"Indeterminate round red loose tomato, vigorous plant, early.","Red color, globe, firm, 240-260 gr.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, TSWV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse.
Tomato,192-272,"Indeterminate loose tomato, vigorous plant, early, productive, good leaf coverage.","Red color, round, smooth, 240-260 g, very firm.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse.
Tomato,192-297,"Indeterminate loose tomato, vigorous plant, early.","Red color, slightly flat, 220-240 gr, firm.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV, Ss",Autumn and spring seasons in greenhouse.
Tomato,192-298,"Indeterminate loose tomato, very vigorous plant, early.","Dark red color, slightly flat, 240-260 gr, firm, productive.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV",Autumn and spring seasons in greenhouse.
Tomato,192-320,"Indeterminate loose tomato, very vigorous plant, dark green leaves, early.","Dark red color, slightly flat, 200-220 gr, firm, productive.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV, ToBRFV, Ss",Autumn and winter seasons in greenhouse.
Tomato,192-323,"Indeterminate loose tomato, very vigorous plant, dark green leaves, early.","Red color, slightly flat, 230-250 gr, firm.","HR: ToMV, Va, Vd, Fol 0-1-2, For, Ff A-E / IR: TYLCV, TSWV",Autumn and spring seasons in greenhouse.
Tomato,192-324,"Indeterminate loose tomato, vigorous plant, early.","Red color, slightly flat,
260-280 gr, firm, productive.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV",Autumn and spring seasons in greenhouse.
Tomato,192-333,"Indeterminate loose tomato, very vigorous plant, dark green leaves, productive, early.","Red color, slightly flat, firm, 260-280 gr.","HR: ToMV, Va, Vd, Fol 0-1-2, For / IR: TYLCV, TSWV, Ma,
Mi, Mj",Autumn and spring seasons in greenhouse.
Tomato,192-334,"Indeterminate loose tomato, very vigorous plant, short internodes, dark green leaves, early.","Dark red color, globe shape, 300-320 gr, very firm.","HR: ToMV, Va, Vd, Fol 0-1-2, Ff A-E / IR: TYLCV, TSWV, Ma,
Mi, Mj,Ss",Autumn and spring seasons in greenhouse and open field.

Tomato,192-341,"Indeterminate round red loose tomato, very vigorous plant, dark green leaves, very good leag coverage.","Red, slightly flat, very firm, 220-240 gr, high setting.",,Spring season in greenhouse and open field.
Tomato,192-344,"Indeterminate loose tomato, vigorous plant, very early, open plant habit.","Dark red color, slightly flat, 240-260 gr, very firm, productive.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-B / IR: TYLCV, TSWV, Ma,
Mi, Mj, Ss",Autumn and spring seasons in greenhouse.
Tomato,192-365,"Indeterminate round red loose tomato, very vigorous plant, dark green leaves, very good leag coverage, mid-early, very productive.","Red, slightly flat, very firm, 230-250 gr.","HR: ToMV, Va, Vd, Fol 0-1-2, For / IR: TSWV, Ma, Mi, Mj",Spring season in greenhouse and open field.
Tomato,192-377,"Indeterminate loose tomato, vigorous plant, early, short internodes. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV","Red color, slightly flat, 250-260 gr, very firm, productive.",,Autumn and spring seasons in greenhouse.
Tomato,192-381,"Indeterminate round red loose tomato, vigorous plant, short internodes, dark green leaves, very good leag coverage, early.","Red, round, very firm, 240-260 gr.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV",Spring season in greenhouse and open field.
Tomato,192-388,"Indeterminate loose beef tomato, vigorous plant,  short internodes, early.  HR: ToMV, Vd, Va, Fol 0-1, For IR: TYLCV, TSWV","Red color, slightly flat, very firm, 250-270 g.",,Spring and summer seasons in greenhouse.
Tomato,192-463,"Indeterminate cluster tomato, vigorous plant. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, slightly flat, firm, 140-160 gr.",,Autumn and spring seasons in greenhouse.
Tomato,192-469,"Indeterminate cluster tomato, vigorous plant, dark green leaves, short internodes. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Red color, round, firm, 110-120 gr, productive.",,Autumn and spring seasons in greenhouse.
Tomato,192-470,"Indeterminate cluster tomato, vigorous plant.. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Dark red color, round, firm, 120-140 gr, productive.",,Autumn and spring seasons in greenhouse.
Tomato,192-481,"Indeterminate cluster tomato, vigorous plant, mid-early, dark green leaves, short internodes.
HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, slightly flat, very firm, 160-180 gr, unifrom cluster shape, productive.",,Autumn and spring seasons in greenhouse.
Tomato,192-490,"Indeterminate cluster tomato, vigorous plant, early, dark green leaves. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV","Dark red color, slightly flat, firm, 130-150 gr, unifrom cluster shape, productive.",,Autumn and spring seasons in greenhouse and hydroponic culture.
Tomato,192-491,"Indeterminate cluster tomato, vigorous plant, early, dark green-small size leaves. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Dark red color, slightly flat, firm, 130-150 gr, unifrom cluster shape, very good taste.",,Autumn and spring seasons in greenhouse and hydroponic culture.
Tomato,192-500,"Indeterminate cluster tomato, vigorous plant, dark green leaves. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Dark red color, slightly flat, firm, 120-130 gr.",,Autumn and spring seasons in greenhouse.
Tomato,192-507,"Indeterminate cluster tomato, vigorous plant.","Red color, slightly flat, firm, 130-150 gr.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, TSWV",Autumn and spring seasons in greenhouse.

Tomato,192-531,"Indeterminate cluster tomato, vigorous plant,  short internodes. HR:  ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, slightly flat, firm, 140-160 gr.",,Autumn and spring seasons in greenhouse.
Tomato,192-535,"Indeterminate cluster tomato, very vigorous plant, dark green leaves, early.
HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Dark red color, slightly flat, firm, 180-200 gr, homogenus cluster shape.",,Autumn and spring seasons in greenhouse.
Tomato,192-536,"Indeterminate cluster tomato, vigorous plant,  short internodes, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, slightly flat, firm, 160-180 gr, productive.",,Autumn and spring seasons in greenhouse.
Tomato,192-541,"Indeterminate cluster tomato, vigorous, dark green- small size leaves, short internodes, early.","Round, red color, 170-190 gr, firm, jointless, 6-7 fruits per cluster.","HR: ToMV, Vd, Va, Fol 0-1, For
/ IR ToTV",Hydroponic culture.
Tomato,192-573,"Indterminate loose tomato, vigorous plant, dark green leaves, early, productive.","Round, dark red color, less juicy, firm, high fruit texture, tasty, 100-110 gr.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse and hydroponic culture.
Tomato,192-576,"Indeterminate oval tomato, vigorous plant.","Short-oval, red color, 130-140 gr, firm, high quality.","HR: ToMV, Va, Vd, Fol 0-1-2  / IR: TYLCV",Autumn and spring seasons in greenhouse.
Tomato,192-646,"Indeterminate round loose tomato, short internodes, compact plant, dark green leaves, mid-early.","Pink color, round, 240-260 gr, firm.","HR:ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, Ss",Autumn and spring seasons in greenhouse and tunnel.
Tomato,192-654,"Indeterminate pink tomato, strong plant, very short internodes, HR: ToMV, Va,Vd, FOL 0,1, Cf9, FOR / IR:TYLCV","Globe shape, 220-240 gr, firm",,Autumn and spring season in greenhouse
Tomato,192-658,"Indeterminate round loose tomato, short internodes, compact plant, dark green leaves, mid-early.","Pink color, round, 240-260 gr, firm.","HR:ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse and tunnel.
Tomato,192-660,"Indeterminate round loose tomato, vigorous plant,  short internodes, dark green leaves, early, very productive.","Pink color, round, 240-260 gr, firm.","HR:ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, ToTV, Ss",Autumn and spring seasons in greenhouse and hydroponic culture.
Tomato,192-662,"Indeterminate round loose tomato, vigorous plant,  short internodes, dark green leaves, early, very productive.","Pink color, round, 240-260 gr, firm.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse and hydroponic culture.
Tomato,192-664,"Indeterminate pink tomato,strong plant, mid.early, HR: ToMV, Va,Vd, FOL 0,1, Cf9, FOR / IR:TYLCV","Globe shape, 240-260 gr",,Autumn and spring season in greenhouse
Tomato,192-710,"Indeterminate loose heirloom tomato, very vigorous, dark green leaves, early.","Pink color, flat fruit, ribbed, firm, 280-300 gr, good taste.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-718,"Indeterminate loose heirloom tomato, vigorous plant, compact, short internodes.","Slightly flat, sliced, pink color, beef size 400-450 gr, tasty.","HR: ToMV, Va, Vd, Fol 0-1 / IR:TYLCV",Autumn and spring seasons greenhouse and low tunnel.

Tomato,192-724,"Semi-determinate loose heirloom tomato, compact, short internodes.","Slightly flat, sliced, pink color, beef size 350-400 gr, tasty.","HR:ToMV, Va, Vd, Fol 0-1 / IR: TSWV",Autumn and spring seasons greenhouse and low tunnel.
Tomato,192-729,"Indeterminate loose tomato, short internodes, good leaf coverage, mid-early.","Pink color, globe, 260-280 gr, firm.","HR:ToMV, Va, Vd, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse.
Tomato,192-751,"Indeterminate loose heirloom tomato, vigorous, short internodes.","Flat, ribbed, brown color, firm, 280-300 gr, non-cracking, long shelf life.","HR: ToMV, Vd, Va, Fol 0, Ff A-E / IR: TYLCV, ToBRFV",Autumn and spring seasons in greenhouse.
Tomato,192-765,"Indeterminate loose heirloom tomato, vigorous, early.","Flat, ribbed, purple color, very firm, 300-350 gr, non-cracking, long shelf life.","HR: ToMV, Vd, Va, Fol 0-1",Autumn and spring seasons in greenhouse
Tomato,192-769,"Vigorous plant, early, productive. HR: ToMV, Va, Vd, Fol-0,1 / IR: TYLCV","Round, purple shoulder special type, red color at mature stage, 60-70 gr, firm, very tasty.",,Hydroponic culture.
Tomato,192-867,"Indeterminate oval cocktail tomato, early, very vigorous plant, dark green leaves.","Red color, oval shape, firm, 35-40 gr, very productive.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-868,"Indeterminate oval cocktail tomato, short internodes, small size leaves, vigorous plant, early.","Red color, oval shape, 35-40 gr, firm, productive.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-869,"Indeterminate oval cocktail tomato, vigorous plant, early.","Red color, oval shape, 35-40 gr, firm.","HR: ToMV, Va, Vd, Fol 0 / IR: TYLCV, Ss","Autumn, winter and spring seasons in greenhouse."
Tomato,192-892,"Indeterminate oval cocktail tomato, very vigorus plant, dark green leaves, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, short-oval shape, 40-45 gr, very firm, productive.",,"Autumn, winter and spring seasons in greenhouse."
Tomato,192-895,"Indeterminate oval cocktail tomato, very vigorous plant, dark green leaves,
mid-early.","Dark red color, oval shape, firm, 35-40 gr.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-904,"Indetrminate loose cocktail tomato, vigorous plant. early. HR:ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Oval shape, dark red color, firm, 35-40 gr, non-cracking.",,"Autumn, winter and spring seasons in greenhouse."
Tomato,192-912,"Indeterminate cherry tomato, vigorous plant, early.","Red color, round shape, firm, 25-30 gr, firm.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, Ma, Mi ,Mj","Autumn, winter and spring seasons in greenhouse."
Tomato,192-934,"Indeterminate round loose cocktail tomato, vigorous plant, early, productive.","Red color, firm, 14-16 fruits per cluster, 50-60 gr, good cluster shape.","HR: ToMV, Va, Vd, Fol 0-1",Autumn and spring seasons in greenhouse.
Tomato,192-935,"Indeterminate round loose cocktail tomato, vigorous plant, long internodes, early, productive. HR: ToMV, Va, Vd, Fol 0-1 /  IR: TYLCV","Red color, firm, 45-50 gr, long cluster.",,Autumn and spring seasons in greenhouse.

Tomato,192-949,"Indeterminate cluster cherry tomato, very vigoorus plant, early.","Red color, round shape, very firm, 20-25 gr, tolerant to cracking.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-950,"Indeterminate cluster cherry tomato, mid-early, dark green leaves.","Red color, round, 25-30 gr, uniform cluster shape,
non-cracking, firm.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, spring and winter seasons in greenhouse."
Tomato,192-951,"Indeterminate cluster cherry tomato, early, dark
green-small size leaves, vigorous plant, short internodes.","Red color, round, 25-30 gr, uniform cluster shape,
non-cracking, very firm.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, spring and winter seasons in greenhouse."
Tomato,192-952,"Indeterminate cluster cherry tomato, small size leaves, short internodes. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Red color, round, 25-30 gr, non-cracking.",,"Autumn, spring and winter seasons in greenhouse."
Tomato,192-954,"Indeterminate cluster cherry tomato, early, dark
green-small size leaves, vigorous plant, short internodes.","Red color, round, 15-20 gr, uniform cluster shape,
non-cracking, firm.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, ToTV","Autumn, spring and winter seasons in greenhouse."
Tomato,192-958,"Indeterminate cluster cherry tomato, early, dark
green-small size leaves, very vigorous plant, thick stem, short internodes.","Red color, round, 10-15 gr, uniform cluster shape, very good taste, non-cracking, firm.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, ToBRFV","Autumn, spring and winter seasons in greenhouse."
Tomato,192-963,"Indeterminate round cluster cherry tomato, vigorous plant, dark green leaves, short internodes, early.","Round, red color, firm, 14-16 fruit per cluster, good cluster shape, 15-20 g.","HR: ToMV, Vd, Va, Fol 0-1, Ff A-E / IR: TYLCV, Ma, Mi, Mj, ToBRFV, ToTV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-964,"Indeterminate round cluster cherry tomato, vigorous plant, short internodes, early.","Round, red color, firm, 30-35 g.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-965,"Indeterminate round cluster cherry tomato, vigorous plant, dark green leaves, short internodes, early.","Round, red color, firm, 15-20 g, good cluster shape, firm, non-cracking.","HR: ToMV, Fol 0-1, Ff A-E / IR: TYLCV, Ma, Mi, Mj, ToTV, ToBRFV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-972,"Indeterminate brown cocktail tomato, vigorous plant, dark green leaves, early.","Brown color, strawberry shape, very firm, good taste, 30-35 gr.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-974,"Indeterminate tiger cocktail tomato, short internodes, early, dark green-small size leaves.","Round shape, very firm, green stripes on brown skin, high lycopene, 45 gr, non-cracking.","HR: ToMV, Va, Vd, Fol 0, Ff A-B / IR: TYLCV, Ma, Mi, Mj","Autumn, winter and spring seasons in greenhouse."
Tomato,192-976,"Indeterminate tiger cocktail tomato, short internodes, very early, dark green leaves.","Oval shape, very firm, green stripes on brown skin, high lycopene, 35-40 gr, tasty.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-985,"Indeterminate brown cherry tomato, vigorous plant, dark green leaves, early.","Brown color, oval shape, very firm, good taste, 20-25 gr, very tasty.","HR: ToMV, Va, Vd, Fol 0-2 / IR: TYLCV, ToBRFV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-987,"Indeterminate loose tomato, very vigorous plant, early.","Pink color, slightly flat, 240-260 gr, firm, attractive color, productive.","HR: ToMV, Va, Vd, Fol 0-1, For, FfA-E / IR: TYLCV, Ma, Mi, Mj,
Ss",Autumn and spring seasons in greehouse.

Tomato,192-992,"Indeterminate miniplum, vigorous plant, short internodes, early. HR: ToMV, Va, Vd, Fol 0-1","Purple color, oval shape, firm, tolerant to cracking, 20-25 gr, very tasty.",,"Autumn, winter and spring seasons in greenhouse."
Tomato,192-993,"Indeterminate loose purple cherry tomato, compact, very short internodes, early.","Purple color, oval shape, firm, 25-30 gr, tasty.","HR: ToMV, Vd, Va, Fol 0-1 / IR: ToTV","Autumn, winter and spring seasons in greenhouse."
Tomato,192-994,"Indeterminate purple cherry tomato, vigorous plant, short internodes, early.","Purple color, oval shape, firm, tolerant to cracking, 15-20 gr, tasty, very productive.","HR: ToMV, Fol 0 / IR: ToBRFV","Autumn, winter and spring seasons in greenhouse."
Tomato,202-1070,"Determinate saladette, very vigorous, good leaf cover, productive.","Red color, oval shape, firm fruit, no green shoulder, 140-160 gr.","HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TSWV",Open field.
Tomato,202-1072,"Determinate saladette, very vigorous, dark green leaves, good leaf cover, good hot tolerance.","Red color, oval shape, firm fruit, no green shoulder, 120-140 gr.","HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TSWV",Open field.
Tomato,202-1073,"Determinate saladette, very vigorous, dark green leaves, good leaf cover.","Red shiny color, oval shape, firm fruit, no green shoulder, 160-180 gr, homogenous size.","HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TSWV, Ma, Mi, Mj, ToTV,
Ss",Open field.
Tomato,202-1075,"Determinate saladette, very vigorous, dark green leaves, compact, good leaf cover.","Red shiny color, oval shape, firm, no green shoulder,
160-180 gr.","HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TSWV",Open field.
Tomato,202-1077,"Determinate saladette, vigorous, good leaf cover.","Red color, oval shape, firm, no green shoulder, 160-180 gr.","HR: ToMV, Va, Vd, Fol 0-1-2, For / IR: TSWV",Open field.
Tomato,202-1078,"Determinate saladette, vigorous, compact, dark green leaves,  good leaf cover, good hot tolerance.","Red color, oval shape, firm, no green shoulder, 140-160 gr.","HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TYLCV, TSWV",Open field.
Tomato,202-110,"Indeterminate round loose tomato, open plant, small size leaves, mid-long internodes.","Red color, round shape, 240-260 gr, firm.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse.
Tomato,202-245,"Indeterminate round loose tomato, vigrous plant,
mid-early, dark green leaves.","Red color, round, 220-240 gr, very firm.","HR:ToMV, Va, Vd, Fol 0-1-2, Ff A-E / IR: TYLCV, TSWV, Ma,
Mi, Mj",Autumn and spring seasons in greenhouse.
Tomato,202-246,"Indterminate loose tomato, vigrous plant, productive.","Red color, slightly flat and ribbed, 240-260 gr, firm.","HR:ToMV, Va, Vd, Fol 0-1-2, For / IR: TYLCV, TSWV",Autumn and spirng seasons in greenhouse.
Tomato,202-266,"Indeterminate round red loose tomato, very vigorous plant, dark green leaves, very good leag coverage.","Red, slightly flat, very firm, 230-250 gr, high setting under hot conditions.","HR: ToMV, Va, Vd, Fol 0-1-2, For / IR: TSWV",Spring season in greenhouse and open field.
Tomato,202-278,"Indeterminate loose tomato, vigorous, short internodes, compact, early.","Red color, globe, 250-270 g, firm.","HR: ToMV, Vd, Va, Fol 0-1, For
/ IR: TYLCV, TSWV",Autumn and spring seasons in greenhouse.

